# NPs NSTEPS comp
1000 65537 25.905021
10000 4097 227.461532
100 1048577 16.813591
10 524289 0.685316
1000 16385 10.435191
10 524289 0.669415
1000 32769 14.731116
10000 16385 523.015227
100 262145 2.118458
10 16777217 16.277558
10 8193 0.008409
10000 16385 788.847403
1000 4097 3.006632
100 1048577 10.199271
100 16385 0.203310
100 2049 0.033874
10 2097153 3.335259
10000 1025 51.156791
10000 131073 3927.539851
100 8193 0.132464
10 8193 0.011268
100 1025 0.017395
10 1048577 2.092980
10000 8193 403.464836
100 65537 0.668274
100 65537 1.055091
10 131073 0.169593
100 8193 0.069254
100 129 0.003212
1000 8388609 2803.636845
100 16385 0.183771
100 524289 5.227545
100 257 0.007951
10000 131073 4034.394640
100 4097 0.045532
100 65537 0.503871
10 524289 1.064951
10 16385 0.017039
10 262145 0.540560
1000 524289 202.801710
10 4097 0.005640
100 262145 4.214386
100 4097 0.066282
10 524289 0.664001
10 8193 0.008291
10 262145 0.428512
10000 8193 262.485849
100 16385 0.265737
100 16385 0.194339
100 16385 0.166455
10 32769 0.066437
10 8193 0.014289
10 2049 0.004743
100 524289 8.447577
10 65537 0.109344
100 2049 0.031634
10 1048577 1.049625
10 262145 0.528106
100 262145 2.712284
100 524289 8.437817
100 8193 0.096291
100 129 0.004113
100 16385 0.177057
100 1048577 11.004489
10 65537 0.108180
10 8193 0.011008
10 1048577 2.176676
100 2049 0.024593
10 2097153 2.838748
100 65537 0.539539
10 16385 0.027399
10 513 0.001647
10000 65537 1992.955894
10 8388609 13.524399
100 131073 1.354706
10 8388609 12.847271
10 4097 0.005469
10 65537 0.086788
100 513 0.004391
100 8193 0.083440
10 262145 0.532844
10000 262145 12197.678277
100 1025 0.015676
10 2097153 1.958770
100 32769 0.449829
100 1048577 16.869000
100 4097 0.048412
100 1048577 8.538129
10000 16385 818.986554
100 1048577 13.439703
10 257 0.001111
100 1025 0.018233
100 1048577 7.511876
10 8193 0.017565
100 8193 0.091692
10 8193 0.011024
100 8388609 136.613916
100 8193 0.112226
1000 2049 0.782385
100 524289 5.440566
1000 131073 51.427191
100 131073 1.007266
100 1048577 11.962473
10000 1048577 31241.921047
10 1048577 1.362218
10000 131073 7487.021287
10 4097 0.007638
100 8193 0.131858
10 2049 0.003224
100 1025 0.018666
10000 524289 29771.507774
10 16385 0.027822
1000 1048577 468.401281
100 4097 0.059575
10 4194305 6.066966
10 2049 0.005197
10 33554433 67.496688
10 4097 0.008592
100 2097153 20.499739
100 2097153 21.786671
100 8193 0.114515
100 4097 0.066601
100 524289 8.421029
100 4097 0.067010
100 4097 0.048333
10000 1048577 31450.352528
100 8193 0.115978
10 4097 0.008679
1000 16385 5.616143
10 16385 0.021984
100 8193 0.132783
10 1048577 2.227765
10 262145 0.332093
100 1025 0.017810
10 16385 0.022300
100 1048577 10.821175
100 8388609 74.989660
10000 8193 470.316967
100 8193 0.111131
100 4097 0.047344
10 1048577 0.987253
1000 131073 49.611407
100 16385 0.220588
100 262145 2.734662
10000 131073 6359.319226
10000 257 14.745746
100 8193 0.076087
100 16385 0.267008
1000 16385 6.116685
10 16385 0.021809
100 8193 0.131528
10 8193 0.014040
100 8193 0.112303
100 524289 5.050997
100 32769 0.404942
10000 524289 15772.273821
10 2097153 2.679976
10000 1048577 31734.819193
1000 8193 2.797699
100 8193 0.088636
10 262145 0.323305
100 65537 0.760682
100 262145 2.964712
1000 8388609 2845.306716
1000 131073 51.373748
100 8388609 105.299069
10 32769 0.044833
100 513 0.009835
1000 1048577 357.942138
1000 16777217 6246.523126
10 524289 1.046536
10000 2049 103.036816
10 524289 0.531438
10 4097 0.004265
10 8193 0.017230
10000 131073 3960.241799
1000 524289 182.352351
1000 8388609 3731.055586
1000 8388609 4073.453261
100 524289 3.837661
10 1048577 1.247888
100 257 0.004293
1000 16777217 5589.149002
10 32769 0.050502
10 1048577 1.322667
100 524289 5.141007
100 262145 2.596885
10 8388609 16.885608
10 16777217 26.628623
10 8193 0.016603
10000 524289 24152.395761
10 1048577 1.423847
10 32769 0.045489
100 16777217 210.835049
100 262145 2.906359
1000 16777217 6327.061326
100 4097 0.048184
10 65537 0.095649
100 65537 1.071407
100 65537 0.607962
100 2049 0.027649
1000 131073 42.623549
10 16385 0.025127
100 8193 0.091260
10 8193 0.016762
10 1048577 1.325802
100 1048577 11.002135
10 8193 0.009601
10 16385 0.027306
100 8193 0.085039
